"","rt.x","trial_type","trial_index","time_elapsed","internal_node_id","subject","browser_name","browser_type","completed","interaction","windowWidth","windowHeight","stimulus","trial_condition","whiteNonwhiteRatio","incomeRatio","nNonWhiteTrial","nWhiteTrial","nNonWhiteFemale","nWhiteFemale","trial_orgname","fairness","team_work","work_in_team","distrust","rt.y","s1_earn_reward","s2_inferior","s3_group_dominate","s4_bottom_deserve","s5_group_equality","s6_group_equal_unjust","s7_act_equalize","s8_succeed_equal","b1_just_world","b2_people_deserve","b3_confident_justice","b4_compensate_injustice","b5_injust_exeception","b6_fair_decision","ethnic","age","children","economic","edu","employment","gender","gender_description","income","ladder","marital","social","followup_response","attention_check","start_response"
"1",67595,"survey-html-form",3,180472,"0.0-3.0-0.0","04a172pstkh0j1f","Chrome",103,TRUE,"[{""event"":""blur"",""trial"":0,""time"":58402},{""event"":""blur"",""trial"":0,""time"":58403},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""blur"",""trial"":0,""time"":73087},{""event"":""blur"",""trial"":0,""time"":73088},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""focus"",""trial"":1,""time"":81269},{""event"":""focus"",""trial"":1,""time"":81270},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""focus"",""trial"":9,""time"":455395},{""event"":""focus"",""trial"":9,""time"":455395}]",1280,720,NA,1,1,5,2,23,1,9,"Econo Consulting Group","Y","Y","Y","Y",67338,"Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","White","25","0","Slightly liberal","Four year college degree","Full-time","m","NULL","$30,000 to $39,999","7","Widowed","Slightly liberal","","1",1
"2",52000,"survey-html-form",4,232476,"0.0-3.0-0.1","04a172pstkh0j1f","Chrome",103,TRUE,"[{""event"":""blur"",""trial"":0,""time"":58402},{""event"":""blur"",""trial"":0,""time"":58403},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""blur"",""trial"":0,""time"":73087},{""event"":""blur"",""trial"":0,""time"":73088},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""focus"",""trial"":1,""time"":81269},{""event"":""focus"",""trial"":1,""time"":81270},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""focus"",""trial"":9,""time"":455395},{""event"":""focus"",""trial"":9,""time"":455395}]",1280,720,NA,4,4,1,8,17,8,2,"Advice Alliance","Y","Y","Y","Y",67338,"Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","White","25","0","Slightly liberal","Four year college degree","Full-time","m","NULL","$30,000 to $39,999","7","Widowed","Slightly liberal","","1",1
"3",50205,"survey-html-form",5,282685,"0.0-3.0-0.2","04a172pstkh0j1f","Chrome",103,TRUE,"[{""event"":""blur"",""trial"":0,""time"":58402},{""event"":""blur"",""trial"":0,""time"":58403},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""blur"",""trial"":0,""time"":73087},{""event"":""blur"",""trial"":0,""time"":73088},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""focus"",""trial"":1,""time"":81269},{""event"":""focus"",""trial"":1,""time"":81270},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""focus"",""trial"":9,""time"":455395},{""event"":""focus"",""trial"":9,""time"":455395}]",1280,720,NA,3,3,4,6,19,1,9,"Square and Company","Y","Y","Y","Y",67338,"Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","White","25","0","Slightly liberal","Four year college degree","Full-time","m","NULL","$30,000 to $39,999","7","Widowed","Slightly liberal","","1",1
"4",50822,"survey-html-form",6,333510,"0.0-3.0-0.3","04a172pstkh0j1f","Chrome",103,TRUE,"[{""event"":""blur"",""trial"":0,""time"":58402},{""event"":""blur"",""trial"":0,""time"":58403},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""blur"",""trial"":0,""time"":73087},{""event"":""blur"",""trial"":0,""time"":73088},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""focus"",""trial"":1,""time"":81269},{""event"":""focus"",""trial"":1,""time"":81270},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""focus"",""trial"":9,""time"":455395},{""event"":""focus"",""trial"":9,""time"":455395}]",1280,720,NA,2,2,1,4,21,1,9,"GrowthSense","Y","Y","Y","Y",67338,"Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","White","25","0","Slightly liberal","Four year college degree","Full-time","m","NULL","$30,000 to $39,999","7","Widowed","Slightly liberal","","1",1
"5",34325,"survey-html-form",7,367838,"0.0-3.0-0.4","04a172pstkh0j1f","Chrome",103,TRUE,"[{""event"":""blur"",""trial"":0,""time"":58402},{""event"":""blur"",""trial"":0,""time"":58403},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""focus"",""trial"":0,""time"":66487},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""blur"",""trial"":0,""time"":70235},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""focus"",""trial"":0,""time"":72601},{""event"":""blur"",""trial"":0,""time"":73087},{""event"":""blur"",""trial"":0,""time"":73088},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""focus"",""trial"":0,""time"":74449},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""blur"",""trial"":1,""time"":79645},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""focus"",""trial"":1,""time"":80295},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""blur"",""trial"":1,""time"":81112},{""event"":""focus"",""trial"":1,""time"":81269},{""event"":""focus"",""trial"":1,""time"":81270},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""blur"",""trial"":1,""time"":81845},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""focus"",""trial"":1,""time"":84387},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""blur"",""trial"":5,""time"":235298},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""focus"",""trial"":5,""time"":236299},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""blur"",""trial"":6,""time"":321329},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""focus"",""trial"":6,""time"":328250},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""blur"",""trial"":9,""time"":440236},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""focus"",""trial"":9,""time"":441194},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""blur"",""trial"":9,""time"":455242},{""event"":""focus"",""trial"":9,""time"":455395},{""event"":""focus"",""trial"":9,""time"":455395}]",1280,720,NA,5,5,1,10,15,8,2,"Bloom Advising","Y","Y","Y","Y",67338,"Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Slightly oppose","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","Somewhat favor","White","25","0","Slightly liberal","Four year college degree","Full-time","m","NULL","$30,000 to $39,999","7","Widowed","Slightly liberal","","1",1
"6",43417,"survey-html-form",3,76803,"0.0-3.0-0.0","07h274znp2ba8xm","Chrome",103,TRUE,"[]",1536,864,NA,1,1,4,2,23,0,10,"Square and Company","Y","Y","Y","Y",182078,"Somewhat oppose","Slightly favor","Strongly oppose","Somewhat oppose","Somewhat favor","Slightly favor","Somewhat oppose","Somewhat oppose","Neutral","Somewhat favor","Neutral","Slightly favor","Slightly oppose","Slightly favor","White","26","0","Liberal","Two year college degree","Prefer not to answer","m","NULL","$40,000 to $49,999","4","Widowed","Moderate","","1",1
"7",87957,"survey-html-form",4,164765,"0.0-3.0-0.1","07h274znp2ba8xm","Chrome",103,TRUE,"[]",1536,864,NA,4,4,5,8,17,0,10,"Advice Alliance","Y","Y","Y","Y",182078,"Somewhat oppose","Slightly favor","Strongly oppose","Somewhat oppose","Somewhat favor","Slightly favor","Somewhat oppose","Somewhat oppose","Neutral","Somewhat favor","Neutral","Slightly favor","Slightly oppose","Slightly favor","White","26","0","Liberal","Two year college degree","Prefer not to answer","m","NULL","$40,000 to $49,999","4","Widowed","Moderate","","1",1
"8",86589,"survey-html-form",5,251358,"0.0-3.0-0.2","07h274znp2ba8xm","Chrome",103,TRUE,"[]",1536,864,NA,5,5,7,10,15,8,2,"GrowthSense","N","Y","Y","Y",182078,"Somewhat oppose","Slightly favor","Strongly oppose","Somewhat oppose","Somewhat favor","Slightly favor","Somewhat oppose","Somewhat oppose","Neutral","Somewhat favor","Neutral","Slightly favor","Slightly oppose","Slightly favor","White","26","0","Liberal","Two year college degree","Prefer not to answer","m","NULL","$40,000 to $49,999","4","Widowed","Moderate","","1",1
"9",134096,"survey-html-form",6,385458,"0.0-3.0-0.3","07h274znp2ba8xm","Chrome",103,TRUE,"[]",1536,864,NA,3,3,6,6,19,1,9,"Bloom Advising","Y","Y","Y","Y",182078,"Somewhat oppose","Slightly favor","Strongly oppose","Somewhat oppose","Somewhat favor","Slightly favor","Somewhat oppose","Somewhat oppose","Neutral","Somewhat favor","Neutral","Slightly favor","Slightly oppose","Slightly favor","White","26","0","Liberal","Two year college degree","Prefer not to answer","m","NULL","$40,000 to $49,999","4","Widowed","Moderate","","1",1
"10",72375,"survey-html-form",7,457836,"0.0-3.0-0.4","07h274znp2ba8xm","Chrome",103,TRUE,"[]",1536,864,NA,2,2,5,4,21,0,10,"Econo Consulting Group","Y","Y","Y","Y",182078,"Somewhat oppose","Slightly favor","Strongly oppose","Somewhat oppose","Somewhat favor","Slightly favor","Somewhat oppose","Somewhat oppose","Neutral","Somewhat favor","Neutral","Slightly favor","Slightly oppose","Slightly favor","White","26","0","Liberal","Two year college degree","Prefer not to answer","m","NULL","$40,000 to $49,999","4","Widowed","Moderate","","1",1
